Date, Positive, Death
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,2,0
2020-3-9,3,0
2020-3-10,8,0
2020-3-11,9,0
2020-3-12,17,0
2020-3-13,30,0
2020-3-14,30,0
2020-3-15,45,1
2020-3-16,51,1
2020-3-17,67,1
2020-3-18,77,1
2020-3-19,94,2
2020-3-20,114,2
2020-3-21,152,2
2020-3-22,219,3
2020-3-23,254,6
2020-3-24,290,7
2020-3-25,391,9
2020-3-26,460,13
2020-3-27,604,14
2020-3-28,739,17
2020-3-29,890,22
2020-3-30,1020,25
2020-3-31,1250,27
2020-4-1,1484,34
2020-4-2,1706,41
2020-4-3,2012,46
2020-4-4,2407,52
2020-4-5,2637,51
2020-4-6,2878,54
2020-4-7,3333,63
2020-4-8,3645,75
2020-4-9,4042,109
2020-4-10,4509,121
2020-4-11,5077,130
2020-4-12,5274,141
2020-4-13,5747,149
2020-4-14,6171,154
2020-4-15,6500,195
2020-4-16,6889,208
2020-4-17,7491,231
2020-4-18,8053,258
2020-4-19,8537,277
2020-4-20,8990,300
2020-4-21,9630,324
2020-4-22,10266,349
2020-4-23,10998,372
2020-4-24,11594,410
2020-4-25,12366,436
2020-4-26,12970,448
2020-4-27,13535,458
2020-4-28,14339,492
2020-4-29,14961,522
2020-4-30,15846,552
2020-5-1,16901,581
2020-5-2,17731,616
2020-5-3,18671,660
2020-5-4,19492,684
2020-5-5,20256,713
2020-5-6,20256,713
2020-5-7,21570,769
2020-5-8,22342,812
2020-5-9,23196,827
2020-5-10,24081,839
2020-5-11,25070,850
2020-5-12,25800,891
2020-5-13,26746,927
2020-5-14,27813,955
2020-5-15,28672,977
2020-5-16,29683,1002
2020-5-17,30388,1009
2020-5-18,31140,1014
2020-5-19,32145,1041
2020-5-20,32908,1074
2020-5-21,34137,1099
2020-5-22,34950,1136
2020-5-23,35749,1159
2020-5-24,36244,1171
2020-5-25,37727,1208
2020-5-26,39342,1236
2020-5-27,40249,1281
2020-5-28,41401,1338
2020-5-29,42533,1358
2020-5-30,43611,1370
2020-5-31,44607,1375
2020-6-1,45398,1392
2020-6-2,46239,1407
2020-6-3,46905,1428
2020-6-4,47856,1445
2020-6-5,48532,1453
2020-6-6,49397,1460
2020-6-7,50681,1472
2020-6-8,51251,1477
2020-6-9,51738,1496
2020-6-10,52177,1514
2020-6-11,52647,1520
2020-6-12,53211,1534
2020-6-13,53869,1541
2020-6-14,54506,1546
2020-6-15,54886,1552
2020-6-16,55331,1570
2020-6-17,55775,1583
2020-6-18,56238,1586
2020-6-19,56793,1602
2020-6-20,57443,1607
2020-6-21,57994,1611
2020-6-22,58465,1620
2020-6-23,58994,1645
2020-6-24,59514,1661
2020-6-25,59946,1675
2020-6-26,60570,1700
2020-6-27,61247,1724
2020-6-28,61736,1732
2020-6-29,62189,1740
2020-6-30,62787,1763
2020-7-1,63203,1786
2020-7-2,63735,1816
2020-7-3,64393,1845
2020-7-4,65109,1849
2020-7-5,65748,1853
2020-7-6,66102,1853
2020-7-7,66740,1881
2020-7-8,67375,1905
2020-7-9,67988,1937
2020-7-10,68931,1958
2020-7-11,69782,1962
2020-7-12,70670,1966
2020-7-13,71642,1968
2020-7-14,72443,1977
2020-7-15,73527,1992
2020-7-16,74431,2007
2020-7-17,75433,2013
2020-7-18,76373,2025
2020-7-19,77430,2027
2020-7-20,78375,2031
2020-7-21,79371,2048
2020-7-22,80393,2051
2020-7-23,81237,2054
2020-7-24,82364,2067
2020-7-25,83609,2075
2020-7-26,84567,2078
2020-7-27,86072,2082
2020-7-28,86994,2095
2020-7-29,87993,2125
2020-7-30,88904,2141
2020-7-31,89888,2174
2020-8-1,90801,2215
2020-8-2,91782,2218
2020-8-3,93106,2218
2020-8-4,94251,2244
2020-8-5,95049,2274
2020-8-6,95867,2299
2020-8-7,97882,2317
2020-8-8,99189,2322
2020-8-9,100086,2326
2020-8-10,100749,2327
2020-8-11,101745,2344
2020-8-12,102521,2352
2020-8-13,103622,2363
2020-8-14,104838,2370
2020-8-15,105750,2381
2020-8-16,106687,2381
2020-8-17,107421,2385
2020-8-18,108282,2396
2020-8-19,109019,2410
2020-8-20,109882,2427
2020-8-21,110860,2436
2020-8-22,112072,2443
2020-8-23,112966,2467
2020-8-24,113630,2471
2020-8-25,114635,2494
2020-8-26,115458,2515
2020-8-27,115458,2515
2020-8-28,117592,2550
2020-8-29,118809,2568
2020-8-30,119747,2569
2020-8-31,120594,2580
2020-9-1,121615,2612
2020-9-2,122542,2641
2020-9-3,123668,2652
2020-9-4,124779,2662
2020-9-5,125727,2677
2020-9-6,126926,2678
2020-9-7,127571,2684
2020-9-8,128407,2686
2020-9-9,129289,2697
2020-9-10,130525,2708
2020-9-11,131640,2711
2020-9-12,132940,2722
2020-9-13,133814,2724
2020-9-14,134571,2743
2020-9-15,135514,2839
2020-9-16,136359,2884
2020-9-17,137460,2920
2020-9-18,138702,2949
2020-9-19,139655,2990
2020-9-20,140511,3015
2020-9-21,141138,3021
2020-9-22,142010,3060
2020-9-23,142590,3089
2020-9-24,143492,3113
2020-9-25,144433,3136
2020-9-26,145408,3144
2020-9-27,146144,3159
2020-9-28,146593,3172
2020-9-29,147516,3187
2020-9-30,148271,3208
2020-10-1,148721,3228
2020-10-2,149687,3250
2020-10-3,150803,3270
2020-10-4,151870,3273
2020-10-5,152557,3276
2020-10-6,153182,3291
2020-10-7,153691,3303
2020-10-8,155535,3328
2020-10-9,156649,3344
2020-10-10,157905,3354
2020-10-11,158716,3358
2020-10-12,159570,3361
2020-10-13,160805,3372
2020-10-14,161610,3381
2020-10-15,162941,3388
2020-10-16,164124,3408
2020-10-17,165238,3422
2020-10-18,166138,3433
2020-10-19,166828,3457
2020-10-20,167754,3485
2020-10-21,168772,3515
2020-10-22,170104,3524
2020-10-23,171284,3539
2020-10-24,172372,3578
2020-10-25,173371,3579
2020-10-26,174275,3581
2020-10-27,175409,3600
2020-10-28,176754,3616
2020-10-29,178183,3636
2020-10-30,179639,3643
2020-10-31,181190,3654
2020-11-1,182392,3655
2020-11-2,183418,3658
2020-11-3,184679,3666
2020-11-4,185836,3677
2020-11-5,187202,3688
2020-11-6,188770,3682
2020-11-7,190873,3704
2020-11-8,192175,3707
2020-11-9,193477,3713
2020-11-10,194912,3726
2020-11-11,196506,3741
2020-11-12,198027,3758
2020-11-13,199262,3785
2020-11-14,200799,3799
2020-11-15,201960,3800
2020-11-16,204637,3806
2020-11-17,206762,3835
2020-11-18,208833,3860
2020-11-19,210787,3896
2020-11-20,213331,3912
2020-11-21,215679,3938
2020-11-22,217796,3938
2020-11-23,221038,3942
2020-11-24,223582,3979
2020-11-25,226300,4008
2020-11-26,228900,4029
2020-11-27,230444,4044
2020-11-28,233617,4054
2020-11-29,235942,4058
2020-11-30,237835,4062
2020-12-1,240063,4093
2020-12-2,242480,4113
2020-12-3,244503,4147
2020-12-4,247380,4160
2020-12-5,251173,4197
2020-12-6,255053,4200
2020-12-7,258870,4208
2020-12-8,262730,4260
2020-12-9,267128,4281
2020-12-10,271043,4335
2020-12-11,274438,4370
2020-12-12,278615,4409
2020-12-13,281909,4411
2020-12-14,285149,4414
2020-12-15,288309,4470
2020-12-16,292240,4508
2020-12-17,296093,4553
2020-12-18,299388,4598
2020-12-19,302972,4643
2020-12-20,306848,4650
2020-12-21,310890,4654
2020-12-22,314481,4705
2020-12-23,319133,4760
2020-12-24,323915,4791
2020-12-25,327993,4820
2020-12-26,329577,4840
2020-12-27,333576,4854
2020-12-28,336175,4861
2020-12-29,340297,4920
2020-12-30,344345,4984
2020-12-31,349584,5032
2021-1-1,354766,5081
2021-1-2,358755,5117
2021-1-3,363765,5124
2021-1-4,367536,5132
2021-1-5,371913,5191
2021-1-6,377300,5226
2021-1-7,382679,5275
2021-1-8,387917,5312
2021-1-9,393715,5381
2021-1-10,398856,5383
2021-1-11,403386,5393
2021-1-12,407947,5477
2021-1-13,412545,5552
2021-1-14,417839,5626
2021-1-15,422634,5656
2021-1-16,429391,5706
2021-1-17,439305,5729
2021-1-18,446550,5739
2021-1-19,451076,5798
2021-1-20,455591,5861
2021-1-21,459604,5940
2021-1-22,463751,6002
2021-1-23,468655,6079
2021-1-24,472447,6078
2021-1-25,478619,6081
2021-1-26,483326,6174
2021-1-27,488553,6228
2021-1-28,493674,6308
2021-1-29,497912,6379
2021-1-30,502221,6449
2021-1-31,504779,6464
2021-2-1,507640,6474
2021-2-2,510380,6517
2021-2-3,513339,6575
2021-2-4,516398,6650
2021-2-5,521467,6732
2021-2-6,526176,6773
2021-2-7,529125,6778
2021-2-8,530825,6820
2021-2-9,534116,6898
2021-2-10,537319,6932
2021-2-11,541018,6958
2021-2-12,544209,6966
2021-2-13,547424,6996
2021-2-14,549999,7012
2021-2-15,551538,7016
2021-2-16,553308,7037
2021-2-17,555592,7075
2021-2-18,557896,7090
2021-2-19,559930,7098
2021-2-20,561812,7197
2021-2-21,564115,7331
2021-2-22,565270,7486
2021-2-23,567039,7658
2021-2-24,568946,7807
2021-2-25,570982,7963
2021-2-26,572639,8197
2021-2-27,574314,8382
2021-2-28,576050,8552
2021-3-1,577174,8783
2021-3-2,578559,8943
2021-3-3,580108,9326
2021-3-4,581408,9357
2021-3-5,583060,9428
2021-3-6,584537,9519
2021-3-7,585700,9596
